 format: day,hour,forecast,value  location:60_127 Start : 20251201 
1,200,6,6
1,200,7,5
1,200,8,4
1,200,9,4
1,200,10,3
1,200,11,2
1,200,12,2
1,200,13,2
1,200,14,2
1,200,15,2
1,200,16,2
1,200,17,2
1,200,18,1
1,200,19,0
1,200,20,0
1,200,21,-1
1,200,22,-1
1,200,23,0
1,200,24,2
1,200,25,2
1,200,26,3
1,200,27,3
1,200,28,2
1,200,29,1
1,200,30,0
1,200,31,-1
1,200,32,-2
1,200,33,-3
1,200,34,-4
1,200,35,-4
1,200,36,-5
1,200,37,-5
1,200,38,-5
1,200,39,-5
1,200,40,-6
1,200,41,-6
1,200,42,-6
1,200,43,-6
1,200,44,-7
1,200,45,-7
1,200,46,-6
1,200,47,-5
1,200,48,-4
1,200,49,-4
1,200,50,-3
1,200,51,-2
1,200,52,-2
1,200,53,-3
1,200,54,-4
1,200,55,-4
1,200,56,-5
1,200,57,-5
1,200,58,-5
1,200,59,-6
1,200,60,-6
1,200,61,-6
1,200,64,-7
1,200,67,-8
1,200,70,-7
1,200,73,-1
1,200,76,2
1,200,79,2
1,200,82,0
1,200,85,-3
1,500,6,4
1,500,7,3
1,500,8,2
1,500,9,2
1,500,10,2
1,500,11,2
1,500,12,2
1,500,13,2
1,500,14,2
1,500,15,1
1,500,16,0
1,500,17,0
1,500,18,-1
1,500,19,-1
1,500,20,0
1,500,21,2
1,500,22,2
1,500,23,3
1,500,24,3
1,500,25,2
1,500,26,1
1,500,27,0
1,500,28,-1
1,500,29,-2
1,500,30,-3
1,500,31,-4
1,500,32,-4
1,500,33,-5
1,500,34,-5
1,500,35,-5
1,500,36,-5
1,500,37,-6
1,500,38,-6
1,500,39,-6
1,500,40,-6
1,500,41,-7
1,500,42,-7
1,500,43,-6
1,500,44,-5
1,500,45,-4
1,500,46,-4
1,500,47,-3
1,500,48,-2
1,500,49,-2
1,500,50,-3
1,500,51,-4
1,500,52,-4
1,500,53,-5
1,500,54,-5
1,500,55,-5
1,500,56,-6
1,500,57,-6
1,500,58,-6
1,500,61,-7
1,500,64,-8
1,500,67,-7
1,500,70,-1
1,500,73,2
1,500,76,2
1,500,79,0
1,500,82,-3
1,800,6,2
1,800,7,2
1,800,8,2
1,800,9,2
1,800,10,2
1,800,11,2
1,800,12,1
1,800,13,0
1,800,14,0
1,800,15,-1
1,800,16,-1
1,800,17,0
1,800,18,2
1,800,19,2
1,800,20,3
1,800,21,3
1,800,22,2
1,800,23,1
1,800,24,0
1,800,25,-1
1,800,26,-2
1,800,27,-3
1,800,28,-4
1,800,29,-4
1,800,30,-5
1,800,31,-5
1,800,32,-5
1,800,33,-5
1,800,34,-6
1,800,35,-6
1,800,36,-6
1,800,37,-6
1,800,38,-7
1,800,39,-7
1,800,40,-6
1,800,41,-5
1,800,42,-4
1,800,43,-4
1,800,44,-3
1,800,45,-2
1,800,46,-2
1,800,47,-3
1,800,48,-4
1,800,49,-4
1,800,50,-5
1,800,51,-5
1,800,52,-5
1,800,53,-6
1,800,54,-6
1,800,55,-6
1,800,56,-7
1,800,57,-7
1,800,58,-7
1,800,59,-8
1,800,60,-8
1,800,61,-8
1,800,62,-8
1,800,63,-8
1,800,64,-7
1,800,65,-5
1,800,66,-3
1,800,67,-1
1,800,68,1
1,800,69,2
1,800,70,2
1,800,71,2
1,800,72,2
1,800,73,2
1,800,74,1
1,800,75,0
1,800,76,0
1,800,77,-1
1,800,78,-2
1,800,79,-3
1,800,82,-4
1,800,85,-5
1,800,88,-5
1,800,91,-1
1,800,94,1
1,800,97,-1
1,800,100,-2
1,800,103,-2
1,1100,6,2
1,1100,7,2
1,1100,8,2
1,1100,9,1
1,1100,10,0
1,1100,11,0
1,1100,12,-1
1,1100,13,-1
1,1100,14,0
1,1100,15,2
1,1100,16,2
1,1100,17,3
1,1100,18,3
1,1100,19,2
1,1100,20,1
1,1100,21,0
1,1100,22,-1
1,1100,23,-2
1,1100,24,-3
1,1100,25,-4
1,1100,26,-4
1,1100,27,-5
1,1100,28,-5
1,1100,29,-5
1,1100,30,-5
1,1100,31,-6
1,1100,32,-6
1,1100,33,-6
1,1100,34,-6
1,1100,35,-7
1,1100,36,-7
1,1100,37,-6
1,1100,38,-5
1,1100,39,-4
1,1100,40,-4
1,1100,41,-3
1,1100,42,-2
1,1100,43,-2
1,1100,44,-3
1,1100,45,-4
1,1100,46,-4
1,1100,47,-5
1,1100,48,-5
1,1100,49,-5
1,1100,50,-6
1,1100,51,-6
1,1100,52,-6
1,1100,53,-7
1,1100,54,-7
1,1100,55,-7
1,1100,56,-8
1,1100,57,-8
1,1100,58,-8
1,1100,59,-8
1,1100,60,-8
1,1100,61,-7
1,1100,62,-5
1,1100,63,-3
1,1100,64,-1
1,1100,65,1
1,1100,66,2
1,1100,67,2
1,1100,68,2
1,1100,69,2
1,1100,70,2
1,1100,71,1
1,1100,72,0
1,1100,73,0
1,1100,74,-1
1,1100,75,-2
1,1100,76,-3
1,1100,79,-4
1,1100,82,-5
1,1100,85,-5
1,1100,88,-1
1,1100,91,1
1,1100,94,-1
1,1100,97,-2
1,1100,100,-2
1,1400,6,1
1,1400,7,0
1,1400,8,0
1,1400,9,-1
1,1400,10,-1
1,1400,11,0
1,1400,12,2
1,1400,13,2
1,1400,14,3
1,1400,15,3
1,1400,16,2
1,1400,17,1
1,1400,18,0
1,1400,19,-1
1,1400,20,-2
1,1400,21,-3
1,1400,22,-4
1,1400,23,-4
1,1400,24,-5
1,1400,25,-5
1,1400,26,-5
1,1400,27,-5
1,1400,28,-6
1,1400,29,-6
1,1400,30,-6
1,1400,31,-6
1,1400,32,-7
1,1400,33,-7
1,1400,34,-6
1,1400,35,-5
1,1400,36,-4
1,1400,37,-4
1,1400,38,-3
1,1400,39,-2
1,1400,40,-2
1,1400,41,-3
1,1400,42,-4
1,1400,43,-4
1,1400,44,-5
1,1400,45,-5
1,1400,46,-5
1,1400,47,-6
1,1400,48,-6
1,1400,49,-6
1,1400,50,-7
1,1400,51,-7
1,1400,52,-7
1,1400,53,-8
1,1400,54,-8
1,1400,55,-8
1,1400,56,-8
1,1400,57,-8
1,1400,58,-7
1,1400,59,-5
1,1400,60,-3
1,1400,61,-1
1,1400,62,1
1,1400,63,2
1,1400,64,2
1,1400,65,2
1,1400,66,2
1,1400,67,2
1,1400,68,1
1,1400,69,0
1,1400,70,0
1,1400,71,-1
1,1400,72,-2
1,1400,73,-3
1,1400,76,-4
1,1400,79,-5
1,1400,82,-5
1,1400,85,-1
1,1400,88,1
1,1400,91,-1
1,1400,94,-2
1,1400,97,-2
1,1700,6,-1
1,1700,7,-1
1,1700,8,0
1,1700,9,1
1,1700,10,2
1,1700,11,2
1,1700,12,2
1,1700,13,2
1,1700,14,1
1,1700,15,-1
1,1700,16,-2
1,1700,17,-3
1,1700,18,-4
1,1700,19,-4
1,1700,20,-5
1,1700,21,-5
1,1700,22,-5
1,1700,23,-6
1,1700,24,-6
1,1700,25,-6
1,1700,26,-7
1,1700,27,-7
1,1700,28,-7
1,1700,29,-7
1,1700,30,-7
1,1700,31,-7
1,1700,32,-6
1,1700,33,-5
1,1700,34,-4
1,1700,35,-4
1,1700,36,-3
1,1700,37,-3
1,1700,38,-4
1,1700,39,-4
1,1700,40,-5
1,1700,41,-5
1,1700,42,-6
1,1700,43,-6
1,1700,44,-7
1,1700,45,-7
1,1700,46,-8
1,1700,47,-8
1,1700,48,-8
1,1700,49,-8
1,1700,50,-8
1,1700,51,-8
1,1700,52,-8
1,1700,53,-8
1,1700,54,-8
1,1700,55,-7
1,1700,56,-5
1,1700,57,-3
1,1700,58,-1
1,1700,59,0
1,1700,60,1
1,1700,61,2
1,1700,62,2
1,1700,63,2
1,1700,64,1
1,1700,65,0
1,1700,66,-2
1,1700,67,-2
1,1700,68,-3
1,1700,69,-3
1,1700,70,-3
1,1700,73,-4
1,1700,76,-5
1,1700,79,-5
1,1700,82,0
1,1700,85,2
1,1700,88,-1
1,1700,91,-2
1,1700,94,-2
1,2000,6,1
1,2000,7,2
1,2000,8,2
1,2000,9,2
1,2000,10,2
1,2000,11,1
1,2000,12,-1
1,2000,13,-2
1,2000,14,-3
1,2000,15,-4
1,2000,16,-4
1,2000,17,-5
1,2000,18,-5
1,2000,19,-5
1,2000,20,-6
1,2000,21,-6
1,2000,22,-6
1,2000,23,-7
1,2000,24,-7
1,2000,25,-7
1,2000,26,-7
1,2000,27,-7
1,2000,28,-7
1,2000,29,-6
1,2000,30,-5
1,2000,31,-4
1,2000,32,-4
